Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Elm
Altitude [m asl]:         958 m
Coordinates:              46° 55.4' N / 9° 10.5' E

Reference date of homogenization:
         Temperature:     01.12.2020
         Precipitation:   01.12.2022

Last inhomogeneity provisionally corrected:
         Temperature:     no
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            20.08.2024


Year  Month        Temperature      Precipitation  
1895      2              -10.0               24.4  
1895      3               -0.9              110.4  
1895      4                5.8               77.9  
1895      5                9.1              159.7  
1895      6               12.4               91.0  
1895      7               14.9              116.4  
1895      8               12.8              141.0  
1895      9               13.1               13.7  
1895     10                5.2              122.8  
1895     11                4.0               42.6  
1895     12               -2.5              182.4  
1896      1               -6.7               44.1  
1896      2               -3.7               42.1  
1896      3                1.9              259.4  
1896      4                2.0              199.3  
1896      5                7.4              133.2  
1896      6               12.6              120.1  
1896      7               14.2              143.1  
1896      8               10.7              177.0  
1896      9                9.2              235.1  
1896     10                4.7              226.1  
1896     11               -1.8               62.8  
1896     12               -2.2               50.1  
1897      1               -3.5               46.9  
1897      2                0.4              191.4  
1897      3                2.6              126.9  
1897      4                5.1              101.4  
1897      5                7.4              111.6  
1897      6               13.8              127.2  
1897      7               14.3              150.7  
1897      8               13.4              233.3  
1897      9                8.9              297.0  
1897     10                4.4               32.3  
1897     11                1.1               23.9  
1897     12               -3.2               42.0  
1898      1               -0.3                9.1  
1898      2               -3.0              177.1  
1898      3               -0.3               61.7  
1898      4                5.2               98.7  
1898      5                8.7              194.3  
1898      6               11.2              209.6  
1898      7               12.6              168.5  
1898      8               14.8              144.3  
1898      9               11.4               48.4  
1898     10                7.6              122.1  
1898     11                4.0              130.2  
1898     12               -2.8               60.1  
1899      1               -1.2              200.4  
1899      2               -0.5               10.3  
1899      3                1.2               64.8  
1899      4                4.3              178.9  
1899      5                8.2              184.5  
1899      6               12.3               88.7  
1899      7               13.9              131.7  
1899      8               14.0               78.9  
1899      9                9.4              219.6  
1899     10                7.0               42.6  
1899     11                2.0               15.0  
1899     12               -4.3               82.3  
1900      1               -2.6              150.6  
1900      2                0.2              106.5  
1900      3               -3.0               66.7  
1900      4                3.9              112.7  
1900      5                8.3              133.2  
1900      6               13.1               85.3  
1900      7               15.1              205.3  
1900      8               12.3              247.2  
1900      9               12.1               36.9  
1900     10                5.8               56.1  
1900     11                2.3               97.4  
1900     12               -1.0              114.8  
1901      1               -4.9               85.0  
1901      2               -8.1               41.6  
1901      3               -1.3               93.3  
1901      4                5.2              201.8  
1901      5                9.7               83.1  
1901      6               12.8              175.6  
1901      7               14.0              153.5  
1901      8               12.9              191.6  
1901      9               11.0              157.3  
1901     10                5.8              113.5  
1901     11               -2.4               33.6  
1901     12               -2.1              101.8  
1902      1               -3.4               89.2  
1902      2               -2.5               28.2  
1902      3               -0.1              208.8  
1902      4                7.0               34.6  
1902      5                5.2              165.8  
1902      6               11.2              119.6  
1902      7               14.3              115.0  
1902      8               12.7              148.5  
1902      9               10.1              140.8  
1902     10                5.1              121.8  
1902     11                0.5               16.3  
1902     12               -3.2              141.2  
1903      1               -3.4               72.5  
1903      2               -0.6               54.8  
1903      3                2.2               58.2  
1903      4                1.5              115.2  
1903      5                9.6               89.5  
1903      6               11.4              128.9  
1903      7               12.8              200.6  
1903      8               13.1              157.8  
1903      9               10.0               75.4  
1903     10                6.4              132.2  
1903     11                0.3              111.0  
1903     12               -3.3               39.0  
1904      1               -4.3               32.7  
1904      2               -1.7              109.4  
1904      3                1.1               50.4  
1904      4                6.7              143.3  
1904      5               10.4              206.5  
1904      6               13.4              105.0  
1904      7               16.0               98.0  
1904      8               13.9              146.6  
1904      9                8.5              100.3  
1904     10                5.4               71.7  
1904     11               -0.4               92.7  
1904     12               -2.6               46.7  
1905      1               -6.2               58.7  
1905      2               -3.9               49.0  
1905      3                1.2              120.6  
1905      4                4.5              172.8  
1905      5                8.4              160.6  
1905      6               13.4               62.9  
1905      7               16.5              127.5  
1905      8               13.6              252.5  
1905      9               11.0              162.9  
1905     10                0.3              124.4  
1905     11                0.7               95.4  
1905     12               -4.1               50.0  
1906      1               -4.0               77.9  
1906      2               -4.5               86.0  
